reSASC,SASC,Measure
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
1.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.6666666666666666,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.2,0.0,Recurrences Jaccard
0.6666666666666666,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.6666666666666666,0.0,Recurrences Jaccard
0.6666666666666666,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
0.6666666666666666,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.3333333333333333,0.0,Recurrences Jaccard
0.5,0.0,Recurrences Jaccard
