reSASC,Dollo-k,PP,Measure
0.8737864077669903,0.9100346020761245,0.8493975903614458,Ancestor-Descendant
0.5654008438818565,0.6590038314176246,0.651252408477842,Ancestor-Descendant
0.8388473852721452,0.8227712137486574,0.8184747583243824,Ancestor-Descendant
0.8316831683168318,0.8109854604200323,0.8163265306122449,Ancestor-Descendant
0.8206229860365198,0.8625792811839323,0.8304347826086957,Ancestor-Descendant
0.7598371777476256,0.7486631016042781,0.7598371777476256,Ancestor-Descendant
0.8647942521227955,0.8597402597402597,0.8939292861907938,Ancestor-Descendant
0.8665540540540541,0.8673894912427024,0.8673894912427024,Ancestor-Descendant
0.8688524590163934,0.8675914249684742,0.8701134930643127,Ancestor-Descendant
0.860834990059642,0.8351012536162007,0.8351012536162007,Ancestor-Descendant
0.8307426597582037,0.8307426597582037,0.8307426597582037,Ancestor-Descendant
0.7897334649555775,0.7956777996070727,0.7867867867867867,Ancestor-Descendant
0.7809278350515464,0.7606635071090048,0.7989821882951654,Ancestor-Descendant
0.8271844660194175,0.8239845261121858,0.7690742624618515,Ancestor-Descendant
0.8197530864197531,0.7550295857988166,0.8005018820577163,Ancestor-Descendant
0.7461024498886414,0.7867403314917127,0.7579185520361991,Ancestor-Descendant
0.8023809523809524,0.7655172413793103,0.7726218097447795,Ancestor-Descendant
0.8676585747846516,0.8595810705973623,0.8595810705973623,Ancestor-Descendant
0.8375912408759124,0.818733738074588,0.8330341113105925,Ancestor-Descendant
0.8045197740112995,0.783068783068783,0.814489571899012,Ancestor-Descendant
0.8301255230125524,0.828087167070218,0.8128161888701518,Ancestor-Descendant
0.8855368234250222,0.8487626031164069,0.8423963133640554,Ancestor-Descendant
0.8339416058394161,0.8234234234234235,0.8234234234234235,Ancestor-Descendant
0.8770131771595902,0.8947368421052632,0.8947368421052632,Ancestor-Descendant
0.7944862155388471,0.7178871548619448,0.7904040404040404,Ancestor-Descendant
0.8594306049822064,0.8512911843276937,0.8073059360730592,Ancestor-Descendant
0.8708333333333332,0.8708333333333332,0.8478414720452937,Ancestor-Descendant
0.7996127783155856,0.7996127783155856,0.7996127783155856,Ancestor-Descendant
0.8591184096802075,0.845890410958904,0.8561525129982668,Ancestor-Descendant
0.7268817204301075,0.64746772591857,0.6998961578400831,Ancestor-Descendant
0.8867924528301886,0.8560490045941807,0.8471544715447155,Ancestor-Descendant
0.8471953578336557,0.836676217765043,0.8471953578336557,Ancestor-Descendant
0.8784419073203492,0.884,0.8781793842034806,Ancestor-Descendant
0.7980214344600165,0.8209321340964839,0.8196994991652754,Ancestor-Descendant
0.7868852459016393,0.7868852459016393,0.7473958333333334,Ancestor-Descendant
0.8883343730505302,0.8883343730505302,0.8848560700876095,Ancestor-Descendant
0.8848129126925898,0.8695025234318673,0.8692421991084696,Ancestor-Descendant
0.8498054474708172,0.8498054474708172,0.8504672897196262,Ancestor-Descendant
0.805111821086262,0.8134878819810326,0.8128342245989305,Ancestor-Descendant
0.8430182133564613,0.8430182133564613,0.8152753108348134,Ancestor-Descendant
0.9007792207792208,0.9007792207792208,0.9007792207792208,Ancestor-Descendant
0.8280034572169405,0.802992518703242,0.8223350253807107,Ancestor-Descendant
0.8003613369467028,0.7896613190730837,0.8291316526610645,Ancestor-Descendant
0.8099173553719008,0.8006379585326953,0.7969413763806287,Ancestor-Descendant
0.7512291052114061,0.7647647647647647,0.7585513078470826,Ancestor-Descendant
0.7250755287009063,0.6598240469208211,0.7264296754250387,Ancestor-Descendant
0.8650306748466258,0.8323232323232324,0.8426610348468848,Ancestor-Descendant
0.8435643564356435,0.8353413654618473,0.8163265306122449,Ancestor-Descendant
0.7726847521047708,0.7975133214920072,0.7800369685767098,Ancestor-Descendant
0.8012048192771084,0.7776940467219291,0.7807083647324793,Ancestor-Descendant
