reSASC,Dollo-k,PP,infSCITE,Measure
0.3333333333333333,0.0,0.0,0.0,Recurrences Jaccard
0.4,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
0.14285714285714285,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.6666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.6,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.2,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.75,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.3333333333333333,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.5,Recurrences Jaccard
0.2,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
0.14285714285714285,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.5,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.25,0.0,0.0,0.0,Recurrences Jaccard
0.16666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.2,0.0,0.0,0.0,Recurrences Jaccard
1.0,0.0,0.0,0.0,Recurrences Jaccard
0.4,0.0,0.0,0.0,Recurrences Jaccard
0.6666666666666666,0.0,0.0,0.0,Recurrences Jaccard
0.5,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,1.0,Recurrences Jaccard
0.4,0.0,0.0,0.0,Recurrences Jaccard
0.0,0.0,0.0,0.0,Recurrences Jaccard
